material,mp_id,k_bte_xx,k_bte_yy,k_bte_zz,k_bte_avg
Ag2SeO4,11641,0.27,0.18,0.43,0.29
AgAuCl4,570340,0.12,0.17,0.23,0.17
AgI,22894,2.62,2.62,2.85,2.69
Al2O3,1143,32.42,32.42,35.12,33.32
AlAs,2172,85.82,85.82,85.82,85.82
AlCuO2,3098,55.82,55.82,68.81,60.15
AlH3,23933,77.57,77.57,103.81,86.32
AlN,661,272.26,272.26,238.78,261.1
AlP,1550,78.29,78.29,78.29,78.29
AlSb,2624,85.76,85.76,85.76,85.76
B4C,696746,143.58,143.58,139.9,142.35
BP,1479,449.42,449.42,449.42,449.42
Ba(ErTe2)2,17928,0.59,1.61,0.69,0.96
Ba(ScTe2)2,17501,1.07,2.41,1.0,1.49
Ba2CdTe3,16904,0.54,0.89,0.44,0.62
Ba3MgSb2O9,16978,2.23,2.23,1.92,2.12
Ba3TiS5,9668,0.37,0.37,0.37,0.37
Ba5Ho8Zn4O21,6795,2.48,2.48,3.57,2.85
BaCl2,568662,2.86,2.86,2.86,2.86
BaLa2O4,752656,1.1,3.03,1.19,1.77
BaSi2(BO4)2,555387,1.98,3.32,2.67,2.66
BeO,2542,317.98,317.98,319.99,318.65
BeS,422,168.99,168.99,168.99,168.99
BeSe,1541,101.54,101.54,101.54,101.54
BeTe,252,82.3,82.3,82.3,82.3
BiF3,23237,1.21,1.1,1.0,1.1
BiOF,759825,1.4,2.86,1.23,1.83
Ca(CO2)2,558543,1.37,1.31,1.32,1.33
Ca(MgAs)2,9564,5.63,5.63,4.92,5.4
CaB3H3O7,722262,1.05,1.42,0.69,1.05
CaO,2605,26.67,26.67,26.67,26.67
CaPSe3,11007,0.68,0.72,0.63,0.68
CdS,672,17.71,17.71,17.24,17.56
CdSe,1070,13.6,13.6,14.63,13.94
CdSe,2691,20.49,20.49,20.49,20.49
CdSnO3,849371,2.71,2.33,2.62,2.55
CdTe,406,8.43,8.43,8.43,8.43
Cs2HgO2,7232,0.64,0.64,0.85,0.71
Cs2LiAl3F12,13634,1.49,1.49,0.72,1.23
Cs2LiInBr6,989405,0.18,0.18,0.18,0.18
Cs2MgH4,23752,3.15,3.15,0.61,2.3
Cs2TeBr6,23405,0.18,0.18,0.18,0.18
Cs2TeCl6,23465,0.22,0.22,0.22,0.22
CsCdAuS2,560558,0.32,0.19,0.31,0.27
CsLiCl2,23364,1.01,1.01,0.49,0.84
CsNb(CuTe2)2,505321,0.24,0.04,0.39,0.22
CsPb2Cl5,984872,0.39,0.39,0.13,0.3
CsPrCdSe3,11118,0.6,0.16,0.42,0.39
CuBr,22913,18.5,18.5,18.5,18.5
CuCl,22914,2.71,2.71,2.71,2.71
CuI,32750,5.61,5.61,6.76,5.99
Dy2SiO5,768317,2.47,2.75,2.53,2.58
Dy2SiSeO4,18219,1.82,2.81,2.12,2.25
ErBi2BrO4,546621,10.57,10.57,1.13,7.42
ErBi2IO4,551250,8.05,8.05,0.99,5.7
Ga2PbO4,20496,1.04,1.15,1.18,1.13
GaN,804,202.56,202.56,206.42,203.85
GaP,2490,120.58,120.58,120.58,120.58
GaTe,542812,0.65,2.84,0.93,1.47
HfB2O5,559617,11.28,10.22,10.27,10.59
Hg7(PO5)2,29958,0.61,0.26,0.21,0.36
HgP14Pb,22574,0.07,2.52,0.09,0.89
Ho2Te4O11,542514,2.03,1.35,0.76,1.38
In2O3,22323,14.22,14.22,13.18,13.88
InP,20351,81.75,81.75,81.75,81.75
K2CdO2,27742,0.98,1.27,1.88,1.38
K2MgH4,23956,8.21,8.21,3.46,6.63
K2O,776016,3.58,3.58,3.58,3.58
K2PrCl5,569967,0.22,0.47,0.27,0.32
K2SnO3,17730,1.97,0.94,0.69,1.2
K2TiS3,28766,0.35,0.41,1.18,0.64
K3PS4,17989,0.28,0.31,0.18,0.25
K5Se3,755633,0.3,0.3,0.45,0.35
K6MnTe4,18246,0.22,0.22,0.29,0.24
K9InSe7,568644,0.06,0.06,0.06,0.06
KDyS2,15785,5.12,5.12,2.67,4.3
KF,463,7.81,7.81,7.81,7.81
KGaO2,4066,0.68,0.59,0.46,0.57
KNa2CuO2,545359,1.5,1.5,0.86,1.29
KSmS2,15783,4.7,4.7,2.36,3.92
KV(CuS2)2,6376,0.41,0.26,1.22,0.63
La2(SiO3)3,756888,2.54,2.54,2.05,2.38
La2GaN3,568036,2.06,2.21,2.06,2.11
La2S3,7475,2.4,3.58,1.76,2.58
La2TiZnO6,558528,2.35,1.86,2.53,2.25
La4Ga2O9,769915,1.39,0.98,0.82,1.06
LaI3,27979,1.7,0.28,1.49,1.16
Li2Ti2O5,772049,2.13,3.1,2.07,2.43
Li4GeS4,30249,0.57,0.8,0.61,0.66
LiCuO,5127,8.1,8.1,6.41,7.53
LiErS2,35591,3.42,3.42,1.54,2.79
LiNdSe2,37605,1.03,1.03,0.61,0.89
LiYF4,3941,4.52,8.07,8.22,6.94
Lu2Si2O7,7193,10.35,5.79,7.78,7.97
LuTa3O9,756704,2.46,5.28,2.37,3.37
Mg(GaO2)2,38951,24.47,21.31,20.63,22.14
MgAl2O4,3536,28.15,28.15,28.15,28.15
MgO,1265,54.98,54.98,54.98,54.98
MgTe,1039,7.36,7.36,8.33,7.68
Na14Al4O13,31008,0.42,0.24,0.33,0.33
Na2Al2As3,17473,0.37,0.5,0.24,0.37
Na2UO4,17560,2.69,2.66,1.52,2.29
Na3Cu5O4,759535,0.14,0.14,0.17,0.15
Na3PaF8,27478,1.39,1.39,1.1,1.29
Na5InO4,8840,3.17,2.23,2.23,2.54
Na5ReO6,8253,2.33,2.3,2.62,2.42
NaNdO2,8128,6.28,6.28,5.52,6.02
NaNdS2,676360,5.19,5.19,1.77,4.05
NaPO3,558192,0.48,0.71,0.35,0.51
NaSc(SiO3)2,7074,2.98,2.38,4.91,3.42
NaSr3BiO6,555812,2.41,2.41,2.99,2.61
NbCu3S4,5621,5.86,5.86,5.86,5.86
NdCl3,23183,1.69,1.69,3.0,2.12
Pr2SO2,3236,15.0,15.0,9.58,13.19
PrPtF7,17446,1.0,1.13,1.11,1.08
Rb2BaNb2Se11,571293,0.1,0.06,0.11,0.09
Rb2CO3,4138,0.31,0.22,0.19,0.24
Rb2PbO3,21489,0.79,0.71,1.53,1.01
Rb2PtS2,7929,6.11,1.26,1.47,2.95
Rb3TaS4,17220,0.15,0.15,0.09,0.13
RbCaH3,23949,2.27,2.27,2.27,2.27
RbCu3S2,10985,0.52,0.49,0.3,0.44
RbHgSbSe3,6300,0.13,0.24,0.29,0.22
RbNd2CuS4,10834,3.25,1.64,1.59,2.16
RbNdTe2,5808,2.06,2.06,1.55,1.89
RbScO2,8145,7.46,7.46,6.58,7.17
Re3S4Br,652046,3.6,1.38,1.24,2.07
SbBrO,768372,0.11,0.1,0.15,0.12
ScAgO2,973185,17.6,17.6,45.18,26.79
ScOF,4662,5.46,7.7,8.62,7.26
Si,149,110.19,110.19,110.19,110.19
Si2Ru,569815,18.55,17.52,17.37,17.81
Si3N4,2245,55.7,55.7,101.36,70.92
SiC,8062,393.51,393.51,393.51,393.51
SiGe,978534,95.21,95.21,65.25,85.22
SiO2,6945,4.76,4.76,4.98,4.84
Sr2LiReN4,10556,3.09,4.09,2.51,3.23
Sr2SnSe3F2,17057,0.54,0.23,0.42,0.4
Sr2Zr7O16,770419,1.85,1.85,2.59,2.09
SrIn2O4,540688,4.31,8.53,3.95,5.6
SrLiSb,7756,3.79,4.35,2.89,3.68
SrPdF4,12622,4.16,4.16,5.03,4.45
SrSnO3,2879,3.81,4.04,3.74,3.86
Ta2O5,10390,4.76,6.08,6.96,5.93
Tb3In5S12,20606,0.93,1.92,0.16,1.0
TbAsO4,3248,11.63,11.63,13.34,12.2
TbF3,11347,3.91,4.08,3.05,3.68
Te2Pb3(ClO3)2,554952,0.24,0.46,0.29,0.33
Th2SeN2,7768,19.13,19.13,8.65,15.64
ThI4,27697,0.18,0.62,0.46,0.42
ThO2,643,16.32,16.32,16.32,16.32
ThSiO4,7651,4.08,2.85,2.89,3.28
Ti3PbO7,504427,1.22,2.62,0.95,1.6
TiNiSn,924130,15.77,15.77,15.77,15.77
TiO2,1439,6.58,3.82,6.96,5.79
TiO2,775938,0.71,0.94,0.72,0.79
TiSnO4,753048,4.61,6.03,4.86,5.17
Tl2TeO3,543028,0.11,0.1,0.2,0.14
Tl3PbI5,23380,0.05,0.04,0.04,0.04
TlAgSe,29238,0.28,0.42,0.33,0.34
TlBS3,28809,0.26,0.09,0.71,0.35
TlPt2Se3,541487,1.82,1.82,0.54,1.39
Tm3B5O12,558534,4.22,2.48,5.03,3.91
Y2HfO5,755537,9.96,7.02,9.09,8.69
Y4Al2O9,5409,1.64,1.21,0.96,1.27
YAgO2,30250,15.24,15.24,23.25,17.91
YbCl2,23220,1.6,0.94,1.39,1.31
Zn4B6SeO12,14921,13.34,13.34,13.34,13.34
ZnO,1986,58.62,58.62,58.62,58.62
ZnS,10281,41.69,41.69,38.62,40.67
ZnSe,380,16.96,16.96,18.12,17.35
ZnTe,2176,45.27,45.27,45.27,45.27
ZrCl2,23162,37.35,37.35,0.67,25.12
ZrGeO4,8042,11.37,11.37,7.24,9.99
ZrNiSn,924129,16.64,16.64,16.64,16.64
ZrO2,2574,5.67,5.67,4.41,5.25
ZrSeO,756361,6.39,6.39,6.39,6.39
ZrSiO4,4820,21.79,21.79,23.36,22.31
Ag5GeO4,5563,0.17,0.15,0.16,0.16
Al(HO)3,625739,10.89,3.1,8.8,7.6
Al2P3(HO3)3,23995,3.19,3.19,8.34,4.91
Al2SiO5,4753,5.83,10.63,11.48,9.31
AlCuSe2,8016,5.34,5.34,5.46,5.38
Ba2CaI6,756725,0.15,0.21,0.18,0.18
Ba2CePtO6,21879,5.4,5.4,5.4,5.4
Ba2NdAlO5,555284,0.65,0.66,0.55,0.62
Ba2SrUO6,14552,1.33,1.22,1.42,1.32
Ba2ZnSi2O7,558629,2.61,1.9,2.06,2.19
Ba3SiO,755363,0.86,0.99,0.96,0.94
BaBrCl,28049,0.6,0.85,0.35,0.6
BaCO3,5504,2.12,2.33,2.01,2.15
BaSiN2,3777,7.51,3.49,7.24,6.08
BaZn2(PO4)2,6089,0.47,0.55,0.4,0.47
BiI,568388,0.19,0.9,0.12,0.4
Ca(CdP)2,9570,3.36,3.36,2.54,3.08
Ca(YS2)2,18642,1.95,4.4,1.7,2.68
Ca3(GeP2)2,17817,3.1,2.74,3.82,3.22
Ca4PtO6,8568,2.08,2.08,4.28,2.82
CaAl2O4,14600,1.29,1.08,1.58,1.32
CaAlH5,966582,4.09,4.26,5.31,4.55
CaHClO,642725,4.53,4.53,1.71,3.59
CaPdF4,8161,4.37,4.37,5.48,4.74
CaSO4,4406,5.54,6.5,6.08,6.04
Cd3AsCl3,27899,0.17,0.27,0.14,0.19
CoAsS,16363,28.92,28.92,28.92,28.92
Cs2PtBr6,30062,0.34,0.34,0.34,0.34
Cs2PtI6,23060,0.13,0.13,0.13,0.13
Cs2Te,573763,0.04,0.05,0.04,0.05
Cs2ZrCl6,638729,0.26,0.26,0.26,0.26
Cs4Pb9,574070,0.02,0.01,0.01,0.01
CsLi2Br3,606680,0.48,0.48,0.18,0.38
CsNb4Cl11,582146,0.86,0.98,0.09,0.64
CsPrS2,9080,2.69,2.69,1.95,2.45
CsSmHgSe3,7212,0.43,0.11,0.35,0.3
CsSn2Cl5,30164,0.17,0.17,0.07,0.14
CuSe3Br,28741,0.46,0.27,0.68,0.47
DyTiClO3,556108,2.62,4.68,1.32,2.87
Er2SiO5,555983,2.52,2.73,2.48,2.58
Ga2HgS4,4809,2.84,2.84,2.45,2.71
Ga2O3,886,12.48,18.59,14.37,15.15
HfO2,352,12.4,13.49,10.9,12.27
HfS2,985829,15.07,15.07,2.05,10.73
Hg3AsSe4Br,567949,0.24,0.24,0.11,0.19
Hg4As2I3,28590,0.06,0.06,0.06,0.06
HgPSe3,7293,0.18,0.23,0.06,0.16
Ho2P4O13,779522,1.09,0.73,1.15,0.99
HoF3,561877,3.72,3.93,2.69,3.45
In4GeS4,556528,1.67,1.67,1.67,1.67
In6TeO12,22189,3.42,3.42,5.31,4.05
InS,19795,2.1,2.99,4.22,3.1
InTeBr,29236,0.23,0.52,0.44,0.39
K2Ca(CO3)2,6494,1.89,1.89,1.39,1.73
K2Cd2O3,7534,1.16,0.83,0.92,0.97
K2TaCuSe4,8972,0.97,0.27,0.2,0.48
K2ZrO3,18449,2.84,1.08,0.94,1.62
K3H5Pt,642821,0.55,0.55,0.88,0.66
K3La(AsO4)2,975577,0.27,0.4,0.25,0.31
K3RhCl6,28837,0.13,0.16,0.17,0.15
K4GeO4,17015,0.37,0.52,0.48,0.46
K4HgAs2,29484,0.69,0.69,0.61,0.67
K4Sn3Se8,4971,0.2,0.23,0.2,0.21
K4ZnP2,11719,1.1,1.1,0.98,1.06
K5H(CN2)2,777297,0.42,0.42,0.74,0.53
KAuCl4,568986,0.07,0.06,0.09,0.07
KBr,23251,2.92,2.92,2.92,2.92
KLaPdO3,556475,2.81,2.85,0.78,2.15
KSbO3,14607,0.95,0.95,0.95,0.95
KSbS2,11703,0.93,0.61,1.34,0.96
La2O3,2292,4.73,4.73,4.73,4.73
La2SiO5,5152,2.11,1.9,3.02,2.34
LaCuS2,4841,1.18,1.55,1.23,1.32
LaP7,200,1.88,1.6,1.79,1.76
Li2AgF5,765481,0.18,0.23,0.27,0.23
Li2CuSb,15988,5.97,5.97,5.97,5.97
Li2PdO3,760483,6.12,6.08,3.25,5.15
Li2TeO3,27231,5.05,4.91,1.16,3.71
Li3ClO,985585,5.12,5.12,5.12,5.12
Li3SbO4,5769,3.07,3.05,4.21,3.44
LiBr,23259,2.78,2.78,2.78,2.78
LiCoS2,753946,23.87,23.87,2.66,16.8
LiErSe2,35205,3.65,3.65,1.3,2.87
LiInO2,5488,4.33,4.33,4.2,4.29
LiPF6,9143,2.17,2.17,2.55,2.29
LiSbO3,4995,5.1,3.62,5.16,4.63
Lu3B5O12,554282,4.06,2.17,4.76,3.66
Lu6TeO12,755804,4.09,4.09,6.43,4.87
LuBO3,7560,7.08,7.08,7.96,7.37
Mg10Ge3(H2O9)2,560872,6.0,5.29,4.58,5.29
Na2Ge2O5,771248,1.06,0.46,1.49,1.0
Na2PdC2,4823,185.21,185.21,9.24,126.55
Na2SO4,4770,1.5,1.5,2.04,1.68
Na2TiF6,18075,0.66,0.66,1.09,0.8
Na2ZnBr4,28830,0.25,0.4,0.63,0.43
NaCdF3,4360,2.2,2.2,2.48,2.29
NaDyO2,752672,4.3,4.56,5.16,4.67
NaI,23268,2.32,2.32,2.32,2.32
NaLa2RuO6,6389,1.19,1.22,1.27,1.22
NaLuGeO4,6712,3.35,4.82,3.41,3.86
NaNb2AsO8,560032,0.54,0.23,0.3,0.36
NaSrAlF6,14722,0.16,0.43,0.28,0.29
NaTl2RhF6,14037,0.71,0.71,0.71,0.71
NaTmO2,754796,4.85,5.34,5.8,5.33
NaZnP,4824,3.39,3.39,1.83,2.87
NbAlFe2,865280,39.45,39.45,39.45,39.45
Nd5As4(ClO4)3,556908,0.48,1.17,0.7,0.79
NdTaO4,3203,7.01,5.29,7.39,6.56
P3Pb5ClO12,504748,0.1,0.1,0.15,0.12
PrBrO,975666,6.4,6.4,1.66,4.82
PrOF,769173,7.99,7.99,4.94,6.98
PrPO4,4589,4.02,2.56,2.43,3.0
Rb2Cd3S4,18556,0.32,0.5,0.48,0.43
Rb2H6Pt,643101,6.11,6.11,6.11,6.11
Rb2ZrO3,756156,0.58,0.73,2.96,1.43
Rb3InO3,849527,0.4,0.5,0.49,0.46
Rb3PO4,558170,0.39,0.31,0.36,0.36
Rb8SnO6,769294,0.37,0.37,0.47,0.4
RbCu2I3,569764,0.1,0.22,0.17,0.16
RbErO2,7477,9.46,9.46,5.0,7.98
RbH2N,697144,0.6,0.79,0.46,0.62
RbNa2AuO2,555018,1.55,1.37,1.81,1.58
Rh2O3,542734,54.84,54.84,54.2,54.63
Sb4O5F2,759707,0.29,0.66,0.22,0.39
SbIrS,8630,25.97,25.97,25.97,25.97
Si2Hg6O7,28712,2.13,0.52,0.73,1.13
Si2Os,17123,18.25,17.98,17.01,17.74
Si5Ir3,2084,5.84,4.72,5.46,5.34
SiO2,555740,4.45,4.45,4.45,4.45
Sm2SO2,5598,15.35,15.35,10.08,13.59
Sm3InS6,21604,1.21,0.92,2.75,1.62
SmIO,754217,7.93,7.93,0.3,5.39
SnICl,571146,0.2,0.58,0.16,0.31
Sr(BeN)2,11919,18.8,18.8,6.95,14.85
Sr2InF7,14283,0.86,0.77,0.62,0.75
Sr2NbInO6,20222,2.64,2.61,2.98,2.74
Sr2SiO4,18510,1.13,1.68,1.04,1.28
Sr3Bi(ClO)3,558642,0.92,0.74,0.41,0.69
Sr3ErRhO6,17149,2.99,2.99,6.22,4.07
Sr4Al6SO12,8877,1.34,1.34,1.34,1.34
SrCuSeF,21228,1.93,1.93,0.83,1.57
SrS,1087,11.65,11.65,11.65,11.65
SrSc2O4,770771,3.85,9.61,3.81,5.76
SrZnP2O7,558616,1.34,0.97,0.82,1.05
TbRbSe2,10782,3.07,3.07,2.01,2.72
TbTlSe2,569507,1.65,1.65,1.41,1.57
TiBeIr2,866154,22.95,22.95,22.95,22.95
TiTl2O3,17986,0.34,1.12,0.39,0.62
TlAgTe,5874,0.19,0.32,0.18,0.23
TlAs5S8,28442,0.04,0.06,0.04,0.05
TmCuPbSe3,640324,0.43,0.72,0.24,0.47
Y2S3,541289,1.25,3.08,1.25,1.86
Y2Si2O7,17404,3.4,3.72,4.08,3.73
YCuS2,10533,1.61,3.07,1.82,2.17
YbI2,570418,2.01,2.01,0.22,1.41
ZnSe2O5,18373,1.0,0.72,0.92,0.88
Al4C3,1591,25.49,25.49,27.77,26.25
AlF3,1323,3.28,3.28,3.62,3.4
AlF3,468,15.85,15.85,19.58,17.1
AlN,1700,231.8,231.8,231.8,231.8
As2O3,1581,0.29,0.57,0.16,0.34
As2Ru,766,32.38,35.93,36.33,34.88
As2Se3,909,0.67,0.18,0.84,0.57
B2O3,717,110.94,88.47,98.69,99.37
B6As,624,102.12,102.12,108.2,104.14
B6O,1346,174.72,174.72,146.86,165.44
B,160,47.28,47.28,85.04,59.87
Ba3As14,524,0.13,0.08,0.1,0.1
BaF2,1029,6.57,6.57,6.57,6.57
BaO,1342,2.93,2.93,2.93,2.93
BaS2,684,1.95,2.18,2.14,2.09
BaS3,239,1.33,1.33,1.49,1.39
BaS,1500,6.57,6.57,6.57,6.57
BaSe,1253,10.46,10.46,10.46,10.46
BaSi2,1477,1.02,1.31,0.95,1.1
BaTe,1000,6.12,6.12,6.12,6.12
Be2C,1569,112.16,112.16,112.16,112.16
Ca3N2,1047,5.51,5.51,7.0,6.01
CaC2,1575,3.49,3.96,3.62,3.69
CaC2,917,4.6,3.32,3.32,3.75
CaN6,676,1.39,2.8,0.67,1.62
CaS,1672,30.05,30.05,30.05,30.05
CaSe,1415,17.15,17.15,17.15,17.15
CaTe,1519,11.39,11.39,11.39,11.39
CdF2,241,3.8,3.8,3.8,3.8
CdP2,402,4.11,4.35,5.76,4.74
CdP2,913,5.08,5.08,3.92,4.69
CsF,1784,1.77,1.77,1.77,1.77
Cu2O,361,2.37,2.37,2.37,2.37
CuP2,927,3.52,2.89,2.79,3.07
Dy2S3,1270,2.98,4.69,2.56,3.41
Er2Se3,209,1.95,1.85,2.1,1.97
FeS2,1522,63.32,62.82,88.2,71.44
FeS2,226,53.63,53.63,53.63,53.63
FeSi2,1714,20.68,20.85,22.61,21.38
Ga2O3,1243,12.76,12.76,14.82,13.44
GaF3,588,8.59,8.59,11.74,9.64
GaN,830,179.52,179.52,179.52,179.52
GaSe,1572,19.76,19.76,0.72,13.41
