material,mp_id,k_bte_xx,k_bte_yy,k_bte_zz,k_bte_avg
GeO2,470,32.39,32.39,50.67,38.48
GeSe,700,0.87,3.42,2.07,2.12
HgF,706,0.74,0.74,1.64,1.04
HgO,1224,6.75,1.13,1.22,3.04
HgS,634,0.78,0.78,1.02,0.86
Ho2S3,878,1.1,2.81,1.13,1.68
Ho4C7,1154,4.44,1.45,1.39,2.43
K2O,971,3.58,3.58,3.58,3.58
K2S,1022,3.52,3.52,3.52,3.52
K2Te,1747,2.12,2.12,2.12,2.12
K3P11,1568,0.03,0.02,0.02,0.02
KSb,1536,0.22,0.39,0.22,0.27
KSi,1217,0.26,0.26,0.26,0.26
LaF3,905,0.73,0.73,1.29,0.92
LaS2,1508,2.96,2.22,3.21,2.8
Li2O2,841,6.85,6.85,5.14,6.28
Li2S,1153,12.75,12.75,12.75,12.75
Li3As,757,2.61,2.61,2.48,2.57
Li3P,736,2.67,2.67,2.69,2.68
LiC,1378,10.36,18.86,11.12,13.45
LiF,1138,17.25,17.25,17.25,17.25
Lu2O3,1427,10.66,10.66,10.66,10.66
Mg3N2,1559,9.53,9.53,9.53,9.53
MgF2,1249,16.9,16.9,26.15,19.98
MgP4,384,4.32,6.35,6.04,5.57
MgS,1315,21.71,21.71,21.71,21.71
MoS2,1434,72.78,72.78,2.49,49.35
Na2S,648,6.61,6.61,6.61,6.61
Na2Se,1266,4.42,4.42,4.42,4.42
NaF,682,23.97,23.97,23.97,23.97
Nb2O5,604,4.06,3.92,4.18,4.05
NbZn3,953,5.85,5.85,5.85,5.85
Nd2O3,1045,6.35,6.35,6.35,6.35
Nd2S3,438,2.62,3.93,1.87,2.8
NiP2,486,17.48,35.02,32.13,28.21
P2Pt,730,60.67,60.67,60.67,60.67
P2Ru,1413,38.58,43.88,41.93,41.46
PbF2,315,1.42,1.42,1.42,1.42
PbF4,341,4.02,4.02,0.49,2.85
PtO2,1285,88.66,97.28,181.43,122.45
Rb2O,1394,2.69,2.69,2.69,2.69
RbSi,1074,0.24,0.24,0.24,0.24
ReO3,190,22.31,22.31,22.31,22.31
Rh2O3,1716,36.53,40.53,41.82,39.63
Sb2Ir,1247,15.06,18.58,15.79,16.48
Sb2O5,1705,9.99,10.74,12.41,11.05
SbO2,1819,8.11,5.72,6.54,6.79
Sc2O3,216,10.2,10.2,10.2,10.2
Sc2S3,401,4.28,4.15,4.86,4.43
Si,165,80.61,80.61,68.56,76.59
Sm2O3,218,6.88,6.88,6.88,6.88
Sm2S3,1403,2.56,4.05,1.8,2.8
Sn3F8,1443,0.19,0.33,0.44,0.32
SnO2,856,31.93,31.93,50.57,38.14
SnSe,691,0.64,1.76,1.46,1.29
SrF2,981,8.23,8.23,8.23,8.23
SrGe2,1244,0.75,1.01,0.73,0.83
Tb2O3,1056,9.1,9.1,9.1,9.1
Te2Mo,602,16.55,16.55,0.82,11.31
TeO2,557,1.91,1.91,2.23,2.02
Th2S5,1666,3.26,2.39,3.26,2.97
ThS2,1146,3.04,2.52,2.53,2.69
TlF,720,0.29,0.69,0.96,0.64
Tm2O3,1767,9.56,9.56,9.56,9.56
WS2,224,122.74,122.74,1.25,82.24
WSe2,1821,40.56,40.56,0.5,27.21
YbO,1216,29.34,29.34,29.34,29.34
YbS,1820,23.83,23.83,23.83,23.83
YbSe,286,10.49,10.49,10.49,10.49
YbTe,1779,9.87,9.87,9.87,9.87
ZnP2,1392,5.86,6.34,10.38,7.53
ZnSe,1190,19.23,19.23,19.23,19.23
Zr3N4,277,2.6,7.3,3.97,4.62
ZrS2,1186,13.73,13.73,3.86,10.44
Al2HgSe4,3038,1.89,1.89,1.83,1.87
Al2ZnO4,2908,24.49,24.49,24.49,24.49
As2Os,2455,26.21,31.32,29.94,29.16
Ba3(SnP2)2,2911,1.81,1.06,1.5,1.46
BaGe2,2139,0.63,0.83,0.66,0.71
BaNd2O4,2892,1.79,4.55,1.87,2.74
BaSi2O5,3031,1.08,2.17,2.23,1.83
Ca(AuO2)2,2898,8.64,8.64,8.7,8.66
CaF2,2741,9.43,9.43,9.43,9.43
CdGeO3,2951,2.79,2.25,3.46,2.83
CdO2,2310,7.81,7.81,7.81,7.81
CdS,2469,20.23,20.23,20.23,20.23
Cs2Mn3S4,2884,3.11,2.35,0.91,2.12
CsAu,2667,0.23,0.23,0.23,0.23
Dy2O3,2345,8.37,8.37,8.37,8.37
Er2CdS4,3041,3.62,3.62,3.62,3.62
Er2O3,2460,4.06,4.38,2.7,3.71
Er2S3,2234,1.23,3.03,1.29,1.85
Ga2Te5,2371,1.82,1.82,2.66,2.1
GaS,2507,39.89,39.89,0.77,26.85
GaSe,1943,24.44,24.44,0.64,16.51
GeS,2242,1.33,4.94,2.22,2.83
HfO2,1858,13.96,11.61,14.1,13.22
In2Si2O7,2874,8.6,6.3,8.05,7.65
IrS2,2833,13.06,46.8,15.83,25.23
K2O2,2672,2.64,2.42,2.53,2.53
KGe,2146,0.2,0.2,0.2,0.2
KTe,2072,0.29,0.29,0.19,0.26
La2O3,1968,3.96,3.96,3.77,3.89
Li2O,1960,21.51,21.51,21.51,21.51
Li2Se,2286,11.46,11.46,11.46,11.46
Li2Te,2530,9.1,9.1,9.1,9.1
Li2TiO3,2931,2.93,2.95,1.9,2.59
Li3PO4,2878,7.74,10.83,10.1,9.55
Li3Sb,2074,3.21,3.21,3.21,3.21
Lu2S3,2826,4.13,4.13,5.4,4.56
LuPO4,2940,16.17,16.17,18.63,16.99
Mg2SiO4,2895,5.44,9.72,11.45,8.87
Mg3As2,1990,1.95,1.95,1.95,1.95
Mg3P2,2514,4.11,4.11,4.11,4.11
MgO2,2589,32.51,32.51,32.51,32.51
MgTe2,2604,3.67,3.67,3.67,3.67
Na2O2,2340,3.57,3.57,4.19,3.78
Na2O,2352,8.47,8.47,8.47,8.47
Na2Te,2784,3.21,3.21,3.21,3.21
NaMgF3,2955,3.0,3.21,3.22,3.14
NaS,2400,1.82,1.82,0.95,1.53
NaSi,2402,0.37,0.23,0.43,0.34
Nd2O3,2763,4.87,4.87,4.68,4.8
P2O5,2173,1.34,7.67,2.32,3.77
P2Os,2319,36.55,41.76,38.87,39.06
P2Pd3S8,3006,1.84,1.84,1.12,1.6
Pr2O3,2063,4.71,4.71,4.51,4.64
Pr2Te4O11,2980,1.5,0.79,0.58,0.96
Pr3Sb5O12,2973,1.17,1.17,1.17,1.17
Rb2BeF4,3009,0.38,0.39,0.28,0.35
Rb2P3,2079,0.44,0.4,0.36,0.4
RbBF4,3032,1.14,1.41,0.65,1.07
RbGe,1888,0.15,0.15,0.15,0.15
RhF3,2068,21.2,21.2,33.49,25.3
RuS2,2030,37.19,37.19,37.19,37.19
SnF2,2843,0.2,0.12,0.22,0.18
SnF4,2706,9.1,9.1,1.6,6.6
SnS,2231,1.05,2.55,1.74,1.78
Sr3P14,1853,0.32,0.18,0.2,0.24
SrN6,2131,0.77,1.35,0.4,0.84
SrO,2472,11.84,11.84,11.84,11.84
SrS2,1950,3.31,3.31,3.44,3.35
SrSe,2758,16.99,16.99,16.99,16.99
SrTe,1958,10.99,10.99,10.99,10.99
Tb2O3,2457,3.09,2.86,1.76,2.57
TeO3,2552,38.41,38.41,53.79,43.54
TiO2,1840,3.37,3.27,4.26,3.64
TiO2,2657,1.59,1.59,2.44,1.87
TlF3,2632,2.17,1.33,1.38,1.63
Tm2S3,2309,1.64,3.55,2.14,2.44
Y2O3,2652,8.58,8.58,8.58,8.58
YCuO2,2918,16.37,16.37,23.66,18.8
YF3,2416,4.01,4.03,2.64,3.56
ZnF2,1873,6.98,6.98,9.29,7.75
ZnO,2133,49.11,49.11,57.26,51.82
ZnP2,2782,13.14,13.14,9.89,12.06
ZrO2,2858,10.0,11.25,9.02,10.09
Al2CdSe4,3159,3.66,3.66,3.76,3.69
Al5BO9,3281,9.79,6.31,8.02,8.04
Ba2SnO4,3359,5.05,5.05,3.68,4.59
Ba2TiO4,3397,0.72,1.13,0.74,0.86
Ba3Al2F12,3361,0.3,0.31,0.42,0.34
Ba3P14,1195,0.25,0.15,0.17,0.19
BaCl2,23199,0.56,0.57,0.48,0.54
BaZrN2,3104,5.59,5.59,2.85,4.68
BeAl2O4,3081,20.62,27.82,29.03,25.83
Ca(BO2)2,3417,2.28,8.36,1.77,4.13
Cd(GaO2)2,3443,8.97,8.97,8.97,8.97
CdSnO3,754329,7.75,7.75,5.11,6.87
Cs2TiS3,3247,0.2,0.23,1.55,0.66
Dy2SiO5,752405,1.38,1.84,1.9,1.71
ErTaO4,3444,6.09,3.87,6.39,5.45
GaTe,10009,11.85,11.85,0.98,8.22
HoNbO4,3144,4.93,3.95,5.11,4.67
K2SiF6,3042,0.83,0.83,0.83,0.83
K3Zn2F7,3125,2.15,2.15,0.65,1.65
KAgO,3074,1.71,1.71,1.88,1.77
KAuSe5,3257,0.04,0.05,0.06,0.05
KMgF3,3448,8.04,8.04,8.04,8.04
La4Ti3O12,3249,1.13,1.13,0.85,1.04
Li10Zn4O9,3297,3.69,3.69,5.39,4.26
Li2CO3,3054,7.92,7.46,4.52,6.63
Li2ZrN2,3216,14.13,14.13,6.51,11.59
Li6WN4,3503,7.12,7.12,6.98,7.08
LiAlO2,3427,13.59,13.59,16.97,14.72
LiErS2,15791,4.47,4.47,1.26,3.4
LiYF4,3700,4.28,4.28,5.57,4.71
Mg(GaO2)2,4590,16.45,16.45,16.45,16.45
Mg2GeO4,3051,4.3,6.95,8.15,6.47
Mg3TeO6,3118,6.65,6.65,6.59,6.63
Na2BeF4,3318,1.16,1.97,2.19,1.77
Na2SO4,3143,0.73,0.67,1.29,0.9
Na2Si2O5,3193,2.34,2.9,1.07,2.1
Na2Ti3O7,3488,0.43,1.72,0.63,0.93
Na3AlF6,3416,0.94,1.0,0.96,0.97
NaBF4,3521,0.97,0.86,1.12,0.99
NaGaO2,3338,6.16,7.91,7.67,7.25
NaPO3,555118,0.36,0.72,0.51,0.53
NaTh2F9,3269,0.52,0.52,0.54,0.53
NaTlO2,3056,5.59,5.59,4.14,5.1
Nb2SnO6,3324,1.24,1.39,1.98,1.54
Nd2SO2,3211,14.92,14.92,9.69,13.18
Nd4Au2O9,3374,4.76,4.38,5.16,4.76
NdGaO3,3196,4.11,5.5,4.87,4.83
PPdSe,3123,0.8,11.14,13.94,8.62
Rb2PbO3,21461,1.37,0.81,0.63,0.94
Rb2SO4,3372,0.34,0.42,0.24,0.33
RbAuF4,3419,0.41,0.41,0.56,0.46
RbScO2,7650,8.07,8.07,5.68,7.27
SbPO4,3439,0.96,2.02,1.19,1.39
ScAgO2,11022,18.99,18.99,34.81,24.26
ScOF,4661,5.44,7.64,8.54,7.21
Sm2Te4O11,3073,1.79,1.05,0.64,1.16
Sm3Sb5O12,3154,1.57,1.57,1.57,1.57
SmRhO3,3317,8.37,6.97,6.58,7.31
Sr3Ti2O7,3349,3.93,3.93,0.92,2.93
SrHfO3,3378,3.64,3.5,3.42,3.52
SrTm2O4,3446,2.98,8.43,3.37,4.93
TaCuS3,3102,2.06,10.64,1.79,4.83
ThSiO4,5836,16.73,16.73,16.5,16.65
Y2HfO5,753917,3.54,3.14,3.62,3.43
Y2SiO5,3520,2.64,2.81,2.57,2.67
Zn(SbO3)2,3188,15.21,15.21,14.88,15.1
Al2CdSe4,3807,4.24,4.24,4.24,4.24
AlCuO2,3748,57.43,57.43,117.26,77.37
AlTlF4,3751,0.89,2.9,2.94,2.24
Ba(NO3)2,4396,0.52,0.52,0.52,0.52
Ba3(PO4)2,3857,5.33,5.33,3.86,4.84
Ba5Nb4O15,3563,2.06,2.06,1.17,1.76
BaAl2O4,4202,0.37,0.37,0.86,0.53
BaHgO2,3915,5.25,5.25,9.95,6.82
BaY2O4,3952,3.06,7.67,3.04,4.59
BaZnO2,4236,2.22,2.22,2.6,2.35
Ca2B2O5,3859,1.82,2.25,1.38,1.82
Ca2SiO4,4180,1.89,2.53,1.89,2.1
Ca3(BO3)2,3575,1.7,1.7,1.94,1.78
Ca3AsN,4192,2.02,1.93,2.06,2.0
Ca3Si2O7,3932,1.06,0.9,1.11,1.02
Ca3Ti2O7,4163,2.24,2.22,2.3,2.26
CaCN2,4124,19.45,19.45,16.92,18.61
CaCO3,3953,3.45,3.45,3.94,3.61
CaGe2O5,4279,5.74,8.93,8.91,7.86
CaSc2O4,4056,3.38,9.99,4.37,5.92
CaSnO3,4190,10.93,10.93,7.95,9.93
CaTiO3,4019,1.75,1.47,1.75,1.66
CaUO4,3960,12.22,12.22,6.72,10.39
Cd(GaSe2)2,3772,3.46,3.46,4.25,3.72
Cd2GeO4,3917,2.13,3.14,3.67,2.98
CdCO3,4385,4.17,4.17,3.99,4.11
Cs2Mn3Se4,3704,2.37,2.06,1.21,1.88
Cs2SiF6,4047,1.04,1.04,1.04,1.04
ErPO4,4006,16.55,16.55,19.12,17.41
ErTlS2,4123,2.37,2.37,1.67,2.13
GaCuO2,4280,22.95,22.95,74.75,40.22
Hg(AsO3)2,3810,9.17,9.17,2.63,6.99
Ho2CdSe4,4284,1.9,1.9,1.9,1.9
HoPO4,4104,16.33,16.33,19.13,17.26
HoTaO4,4344,6.79,4.47,5.7,5.66
K2B2S7,4351,0.57,0.21,0.61,0.46
K2CO3,3963,0.44,0.28,0.24,0.32
K2PtF6,3821,0.97,0.97,0.94,0.96
K2TiF6,3970,0.71,0.71,0.84,0.76
K2UO4,3808,2.81,2.81,1.13,2.25
K3AsS4,3797,0.29,0.3,0.2,0.26
K3VS4,3529,0.24,0.23,0.14,0.2
K7LiSi8,3949,0.22,0.22,0.22,0.22
KAuS5,3592,0.09,0.1,0.16,0.12
KBO2,3919,0.94,0.94,0.6,0.83
KCuO2,3982,1.11,2.36,10.14,4.54
KErS2,4326,5.3,5.3,2.75,4.45
KTaO3,3614,9.34,9.34,9.34,9.34
La2(SeO3)3,4350,0.27,0.3,0.59,0.39
LaPO4,3962,3.8,2.37,2.22,2.8
LaTaO4,4421,1.25,1.41,2.41,1.69
Li2Si2O5,3552,5.82,7.02,4.62,5.82
Li2Si2O5,4117,6.65,6.16,7.46,6.75
Li2SnO3,3540,1.57,1.83,1.23,1.54
Li2ZrF6,4002,2.86,2.86,3.76,3.16
Li4SeO5,4426,7.54,4.25,3.98,5.26
Li5ReN4,3838,6.93,5.68,5.92,6.18
LiB3O5,3660,1.95,2.38,3.91,2.75
LiBO2,3635,7.9,13.41,3.27,8.2
LiNbO2,3924,32.08,32.08,4.58,22.91
LiSbF6,3980,1.4,1.4,1.71,1.51
Mg(AlS2)2,3872,3.23,4.63,5.56,4.47
Mg(BC)2,3582,27.62,27.26,6.89,20.59
Mg(SbO3)2,3653,22.47,22.47,23.9,22.94
Mg2GeO4,3904,28.57,28.57,28.57,28.57
Mg2PN3,3933,17.79,22.06,25.65,21.83
MgGeO3,3759,14.81,14.81,11.77,13.8
MgSiO3,4321,8.84,7.41,14.15,10.13
MgTiO3,3771,10.03,10.03,9.17,9.74
Na2BeF4,3855,0.85,0.63,0.79,0.76
Na2GeS3,4068,0.54,0.29,0.87,0.57
Na2PdF4,3622,1.34,1.92,1.0,1.42
Na2SiF6,3775,0.41,0.41,0.69,0.51
Na3AgO2,3527,3.66,2.68,3.78,3.38
Na5GeP3,4172,0.66,0.54,0.48,0.56
Na5P3O10,3928,0.31,0.21,0.29,0.27
NaBO2,3889,0.85,0.85,0.72,0.81
NaErS2,3613,5.49,5.49,2.51,4.5
NaNbO2,3744,38.93,38.93,7.02,28.29
NaTaO3,3858,3.07,2.3,3.04,2.81
NaZnF3,3795,1.55,1.53,1.6,1.56
NbAg7S6,3926,0.02,0.02,0.03,0.02
NbCu3Se4,4043,5.84,5.84,5.84,5.84
Nd3Sb5O12,3782,1.2,1.2,1.2,1.2
NdCuSe2,3739,1.02,1.74,1.12,1.29
NdNbO4,3901,4.07,3.34,4.5,3.97
NdPO4,3584,3.92,2.55,2.37,2.95
NdTlS2,3664,2.24,2.24,1.5,1.99
Rb2Mn3Se4,4052,1.5,1.31,0.79,1.2
Rb2Pt3S4,4030,3.38,2.88,0.35,2.2
Rb3NbS4,3719,0.15,0.14,0.09,0.13
RbPO3,4135,0.67,3.69,0.73,1.7
RbReO4,4035,0.47,0.47,0.41,0.45
Sc2MnS4,3930,2.4,2.4,2.4,2.4
ScCuO2,3642,18.03,18.03,22.2,19.42
ScPO4,4200,16.61,16.61,25.22,19.48
SmPO4,3831,3.77,2.51,2.33,2.87
SmTaO4,3756,6.34,4.37,5.57,5.42
Sr(NO3)2,4157,0.59,0.59,0.59,0.59
Sr2Sb2O7,4103,3.75,3.48,2.37,3.2
Sr2SnO4,4287,1.85,1.85,1.17,1.63
SrAl4O7,3788,4.81,4.1,7.3,5.41
SrCO3,3822,2.81,3.17,2.32,2.77
SrSeO4,4092,1.49,1.02,0.86,1.12
SrSiO3,3978,1.77,1.72,2.54,2.01
SrTeO4,4274,2.22,1.05,2.71,1.99
SrZrO3,4387,2.73,2.92,2.65,2.77
Ta2Pt3Se8,4425,1.4,0.76,9.14,3.77
TaCu3Se4,4081,6.31,6.31,6.31,6.31
TaNO,4165,21.94,24.98,23.34,23.42
TbAlO3,4434,7.35,10.23,8.94,8.84
TbPO4,4340,16.5,16.5,19.92,17.64
Tm2CdS4,4324,3.82,3.82,3.82,3.82
Tm2SO2,3556,16.81,16.81,10.04,14.55
VCu3S4,3762,12.49,12.49,12.49,12.49
YAlO3,3792,7.54,10.3,8.97,8.94
YOF,3637,7.52,7.52,4.74,6.59
ZnSnP2,4175,38.28,38.28,36.48,37.68
Zr(SO4)2,4325,0.61,0.92,0.53,0.68
Ba(CuSe)2,4473,0.672,1.09,0.813,0.858
BaO2,1105,52.881,52.881,13477.737,4527.833
Ca(AsO3)2,4555,18.741,18.741,5.979,14.487
Ca2SiO4,4481,4.271,6.396,7.397,6.021
Ca2SnO4,4747,7.142,7.015,14.088,9.415
CaSnF6,4782,1.288,1.288,1.296,1.291
CaSnO3,4438,5.119,5.182,5.039,5.113
Cd(GaS2)2,4452,5.809,5.809,6.18,5.933
Cd(PO3)2,4659,1.11,0.576,0.878,0.855
Cd2SiO4,4530,2.658,2.806,3.731,3.065
CoAsS,4627,28.105,26.29,30.419,28.271
CuSbS2,4468,2.18,3.188,1.393,2.254
Ga2HgSe4,4730,1.933,1.933,2.01,1.959
HfSiO4,4609,21.146,21.146,20.943,21.078
Hg3(BO3)2,4710,1.169,1.169,0.785,1.041
Hg3AsO4,4445,0.081,0.158,0.127,0.122
KLiTe,4495,2.929,2.929,1.453,2.437
KPrO2,4519,6.603,6.603,2.766,5.324
KReO4,4757,0.632,0.632,0.578,0.614
La(BO2)3,4658,6.0,3.053,5.858,4.97
La2SO2,4511,11.108,11.108,8.707,10.308
La2TeO2,4547,9.628,9.628,4.14,7.799
Li4GeO4,4558,8.67,7.374,10.114,8.719
Li5GaO4,4657,5.081,4.164,4.011,4.419
Li8SnO6,4527,2.533,2.533,4.917,3.328
MgGeO3,4575,3.47,2.631,3.241,3.114
Na2SiO3,4533,3.624,3.861,5.933,4.473
NaCO2,4534,1.491,1.339,0.886,1.239
NaCuO2,4541,4.921,34.865,7.464,15.75
NaSbO3,4482,10.915,10.915,2.578,8.136
NdRhO3,4582,7.85,6.969,6.706,7.175
NdTaO4,4718,5.99,4.222,5.388,5.2
PdSe2O5,4649,0.907,1.29,1.761,1.319
Pr2C(NO)2,9497,749.542,749.542,92.636,530.573
Pr2SeO2,4764,14.388,14.388,11.179,13.318
PrGaO3,4535,3.979,5.068,4.725,4.591
PrNbO4,4709,3.719,3.1,4.218,3.679
Rb2SeO4,4618,0.177,0.154,0.096,0.142
ScAlO3,4471,10.95,9.76,11.134,10.615
ScCuO2,4636,14.418,14.418,25.537,18.124
Sr3(PO4)2,4632,4.999,4.999,4.106,4.701
Sr4PtO6,4598,2.185,2.185,3.232,2.534
SrNb2O6,4591,2.952,1.481,1.561,1.998
SrSiN2,4549,2.898,3.314,3.495,3.236
TaBO4,4624,53.519,53.519,51.674,52.904
ThTi2O6,4733,3.203,3.149,3.69,3.347
ZnGeP2,4524,36.137,36.137,37.293,36.522
